runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-04 20:55:46.752864,"51.520406, -0.085969","51.543743056406036, -0.05320709804161012",5.1 km,23 mins,1405,transit
2020-03-04 20:55:47.399578,"51.520406, -0.085969","51.53945826650239, -0.03963667897089233",5.8 km,36 mins,2175,transit
2020-03-04 20:55:47.724489,"51.520406, -0.085969","51.53387482494492, -0.02922373362438256",4.6 km,30 mins,1815,transit
2020-03-04 20:55:48.087140,"51.520406, -0.085969","51.527373632557364, -0.022677884405382827",5.4 km,19 mins,1164,transit
2020-03-04 20:55:48.416214,"51.520406, -0.085969","51.52039802621047, -0.02044521750678642",5.7 km,28 mins,1668,transit
2020-03-04 20:55:48.741753,"51.520406, -0.085969","51.51342348814821, -0.022677884405382827",6.5 km,29 mins,1762,transit
2020-03-04 20:55:49.081135,"51.520406, -0.085969","51.506925214368984, -0.029223733624382547",6.0 km,25 mins,1498,transit
2020-03-04 20:55:49.432617,"51.520406, -0.085969","51.501345759705664, -0.03963667897089232",6.0 km,27 mins,1596,transit
2020-03-04 20:55:49.807992,"51.520406, -0.085969","51.49706495669739, -0.05320709804161012",5.3 km,19 mins,1113,transit
2020-03-04 20:55:50.185303,"51.520406, -0.085969","51.494374137224774, -0.06901019028574157",4.7 km,21 mins,1251,transit
2020-03-04 20:55:50.493592,"51.520406, -0.085969","51.49345638513989, -0.085969",3.9 km,25 mins,1517,transit
2020-03-04 20:55:50.875991,"51.520406, -0.085969","51.494374137224774, -0.10292780971425843",3.8 km,15 mins,918,transit
2020-03-04 20:55:51.187633,"51.520406, -0.085969","51.49706495669739, -0.11873090195838991",5.3 km,26 mins,1575,transit
2020-03-04 20:55:51.560858,"51.520406, -0.085969","51.501345759705664, -0.1323013210291077",7.0 km,27 mins,1613,transit
2020-03-04 20:55:51.875848,"51.520406, -0.085969","51.506925214368984, -0.14271426637561743",6.3 km,19 mins,1160,transit
2020-03-04 20:55:52.369454,"51.520406, -0.085969","51.51342348814821, -0.1492601155946172",5.7 km,20 mins,1170,transit
2020-03-04 20:55:53.011283,"51.520406, -0.085969","51.52039802621047, -0.15149278249321357",6.3 km,23 mins,1391,transit
2020-03-04 20:55:53.340826,"51.520406, -0.085969","51.527373632557364, -0.14926011559461722",5.6 km,24 mins,1417,transit
2020-03-04 20:55:53.633849,"51.520406, -0.085969","51.53387482494492, -0.14271426637561746",7.1 km,25 mins,1511,transit
2020-03-04 20:55:53.945495,"51.520406, -0.085969","51.53945826650239, -0.13230132102910772",7.3 km,28 mins,1679,transit
2020-03-04 20:55:54.363613,"51.520406, -0.085969","51.543743056406036, -0.11873090195838994",5.5 km,28 mins,1681,transit
2020-03-04 20:55:54.657776,"51.520406, -0.085969","51.54643679448938, -0.10292780971425843",4.1 km,13 mins,777,transit
2020-03-04 20:55:54.962512,"51.520406, -0.085969","51.547355614860095, -0.08596900000000002",3.5 km,18 mins,1054,transit
2020-03-04 20:55:55.542731,"51.520406, -0.085969","51.55633881981347, -0.085969",4.7 km,25 mins,1485,transit
2020-03-04 20:55:55.899723,"51.520406, -0.085969","51.555113488205365, -0.06335724727468445",6.5 km,29 mins,1732,transit
2020-03-04 20:55:56.254722,"51.520406, -0.085969","51.551521187947536, -0.04228645432572801",8.6 km,36 mins,2155,transit
2020-03-04 20:55:56.609876,"51.520406, -0.085969","51.54580724795397, -0.0241925634378545",6.5 km,38 mins,2275,transit
2020-03-04 20:55:56.934628,"51.520406, -0.085969","51.538361773107844, -0.010308640807105852",7.8 km,26 mins,1534,transit
2020-03-04 20:55:57.273954,"51.520406, -0.085969","51.529692868803465, -0.0015808466206903113",8.6 km,36 mins,2158,transit
2020-03-04 20:55:57.584979,"51.520406, -0.085969","51.520391824375345, 0.0013960405667493535",9.8 km,31 mins,1850,transit
2020-03-04 20:55:57.912759,"51.520406, -0.085969","51.51109267911892, -0.0015808466206903113",7.9 km,33 mins,1968,transit
2020-03-04 20:55:58.244539,"51.520406, -0.085969","51.50242896344947, -0.01030864080710584",8.0 km,28 mins,1653,transit
2020-03-04 20:55:58.557166,"51.520406, -0.085969","51.49499057641377, -0.0241925634378545",9.7 km,37 mins,2242,transit
2020-03-04 20:55:58.901424,"51.520406, -0.085969","51.48928372423443, -0.04228645432572801",7.0 km,32 mins,1893,transit
2020-03-04 20:55:59.244876,"51.520406, -0.085969","51.48569661261914, -0.06335724727468443",5.9 km,35 mins,2115,transit
2020-03-04 20:55:59.608304,"51.520406, -0.085969","51.48447318018653, -0.085969",5.4 km,32 mins,1915,transit
2020-03-04 20:55:59.944551,"51.520406, -0.085969","51.48569661261914, -0.10858075272531556",4.6 km,18 mins,1056,transit
