runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-05 20:18:06.404585,"51.520406, -0.085969","51.512199287380454, -0.09478381094720066",1.8 km,12 mins,722,transit
2020-03-05 20:18:06.791386,"51.520406, -0.085969","51.51247410557902, -0.096146106387172",1.6 km,10 mins,606,transit
2020-03-05 20:18:07.200407,"51.520406, -0.085969","51.512787561397246, -0.0974599566942767",1.7 km,10 mins,594,transit
2020-03-05 20:18:07.669042,"51.520406, -0.085969","51.513138128490475, -0.0987190558572764",1.9 km,11 mins,662,transit
2020-03-05 20:18:07.911627,"51.520406, -0.085969","51.5135240997668, -0.09991734042535699",1.8 km,11 mins,643,transit
2020-03-05 20:18:08.146028,"51.520406, -0.085969","51.513943595687586, -0.10104901767782845",1.9 km,12 mins,700,transit
2020-03-05 20:18:08.369972,"51.520406, -0.085969","51.514394573407436, -0.1021085929807261",2.2 km,13 mins,771,transit
2020-03-05 20:18:08.618813,"51.520406, -0.085969","51.5148748367092, -0.10309089621335912",2.3 km,14 mins,855,transit
2020-03-05 20:18:08.879869,"51.520406, -0.085969","51.51538204668624, -0.10399110714189079",2.3 km,14 mins,841,transit
2020-03-05 20:18:09.120692,"51.520406, -0.085969","51.51591373312012, -0.10480477961157207",2.3 km,15 mins,875,transit
2020-03-05 20:18:09.389453,"51.520406, -0.085969","51.516467306498456, -0.10552786442455117",2.4 km,15 mins,926,transit
2020-03-05 20:18:09.641755,"51.520406, -0.085969","51.51704007061509, -0.10615673076648141",2.5 km,17 mins,1036,transit
2020-03-05 20:18:09.879934,"51.520406, -0.085969","51.51762923569113, -0.10668818604265452",1.9 km,14 mins,822,transit
2020-03-05 20:18:10.126268,"51.520406, -0.085969","51.518231931953466, -0.1071194939833406",1.8 km,12 mins,716,transit
2020-03-05 20:18:10.361559,"51.520406, -0.085969","51.51884522360464, -0.10744839087856232",1.9 km,13 mins,766,transit
2020-03-05 20:18:10.605453,"51.520406, -0.085969","51.51946612311654, -0.10767309980486053",1.7 km,10 mins,619,transit
2020-03-05 20:18:10.843746,"51.520406, -0.085969","51.520091605778134, -0.10779234271080822",1.7 km,11 mins,644,transit
2020-03-05 20:18:11.039420,"51.520406, -0.085969","51.52071862442667, -0.1078053502342134",1.8 km,12 mins,716,transit
2020-03-05 20:18:11.298522,"51.520406, -0.085969","51.521344124290785, -0.10771186913215554",1.9 km,12 mins,744,transit
2020-03-05 20:18:11.552200,"51.520406, -0.085969","51.52196505787289, -0.1075121672152031",1.9 km,12 mins,732,transit
2020-03-05 20:18:11.772728,"51.520406, -0.085969","51.522578399798846, -0.10720703568938715",1.9 km,12 mins,728,transit
2020-03-05 20:18:12.023534,"51.520406, -0.085969","51.52318116156196, -0.10679778882359524",1.8 km,12 mins,719,transit
2020-03-05 20:18:12.412208,"51.520406, -0.085969","51.5237704060899, -0.10628626087597588",2.1 km,15 mins,911,transit
2020-03-05 20:18:12.658892,"51.520406, -0.085969","51.52434326206311, -0.1056748002304664",2.1 km,15 mins,911,transit
2020-03-05 20:18:12.956856,"51.520406, -0.085969","51.52489693791481, -0.1049662607135549",2.1 km,16 mins,948,transit
2020-03-05 20:18:13.232463,"51.520406, -0.085969","51.52542873544432, -0.10416399008160535",1.8 km,9 mins,534,transit
2020-03-05 20:18:13.485061,"51.520406, -0.085969","51.525936062976925, -0.10327181569027516",1.9 km,11 mins,632,transit
2020-03-05 20:18:13.749416,"51.520406, -0.085969","51.52641644800606, -0.10229402737949231",2.4 km,18 mins,1053,transit
2020-03-05 20:18:14.021356,"51.520406, -0.085969","51.526867549255826, -0.1012353576298254",2.3 km,17 mins,1036,transit
2020-03-05 20:18:14.249597,"51.520406, -0.085969","51.52728716810472, -0.10010095906861746",1.9 km,14 mins,856,transit
2020-03-05 20:18:14.501155,"51.520406, -0.085969","51.52767325931466, -0.09889637942665096",1.8 km,13 mins,791,transit
2020-03-05 20:18:14.811645,"51.520406, -0.085969","51.52802394101265, -0.09762753406808541",2.1 km,14 mins,819,transit
2020-03-05 20:18:15.043113,"51.520406, -0.085969","51.528337503876145, -0.096300676237676",1.6 km,11 mins,670,transit
2020-03-05 20:18:15.317192,"51.520406, -0.085969","51.52861241947696, -0.09492236518956489",1.6 km,11 mins,652,transit
2020-03-05 20:18:15.538605,"51.520406, -0.085969","51.52884734774285, -0.09349943238098611",1.4 km,8 mins,492,transit
2020-03-05 20:18:15.763644,"51.520406, -0.085969","51.52904114350006, -0.09203894593178764",1.2 km,9 mins,511,transit
2020-03-05 20:18:15.975574,"51.520406, -0.085969","51.52919286206474, -0.09054817356654474",1.3 km,12 mins,691,transit
2020-03-05 20:18:16.205127,"51.520406, -0.085969","51.52930176385561, -0.08903454427001052",1.2 km,10 mins,611,transit
2020-03-05 20:18:16.457730,"51.520406, -0.085969","51.529367318005434, -0.08750560889856217",1.3 km,10 mins,624,transit
2020-03-05 20:18:16.709293,"51.520406, -0.085969","51.53837240990674, -0.085969",2.5 km,15 mins,899,transit
2020-03-05 20:18:16.928055,"51.520406, -0.085969","51.53832862738245, -0.08287026656840736",2.8 km,19 mins,1114,transit
2020-03-05 20:18:17.188301,"51.520406, -0.085969","51.538197493365615, -0.0797873702626388",3.2 km,23 mins,1391,transit
2020-03-05 20:18:17.421897,"51.520406, -0.085969","51.537979647479055, -0.07673605709065068",2.7 km,20 mins,1205,transit
2020-03-05 20:18:17.683812,"51.520406, -0.085969","51.537676152281506, -0.07373189151796278",3.3 km,21 mins,1272,transit
2020-03-05 20:18:17.922484,"51.520406, -0.085969","51.5372884880669, -0.07079016742264256",3.7 km,26 mins,1577,transit
2020-03-05 20:18:18.155979,"51.520406, -0.085969","51.5368185456194, -0.06792582110204996",4.1 km,28 mins,1679,transit
2020-03-05 20:18:18.393531,"51.520406, -0.085969","51.53626861696033, -0.06515334698256822",4.5 km,30 mins,1800,transit
2020-03-05 20:18:18.639084,"51.520406, -0.085969","51.5356413841328, -0.06248671665576901",4.1 km,26 mins,1540,transit
2020-03-05 20:18:18.887530,"51.520406, -0.085969","51.53493990607953, -0.05993930183006688",4.1 km,20 mins,1212,transit
2020-03-05 20:18:19.126843,"51.520406, -0.085969","51.53416760367905, -0.05752380174616085",3.8 km,17 mins,1018,transit
2020-03-05 20:18:19.390006,"51.520406, -0.085969","51.533328243014324, -0.055252175557804095",3.8 km,17 mins,1035,transit
2020-03-05 20:18:19.626135,"51.520406, -0.085969","51.53242591695641, -0.05313558012710778",3.9 km,19 mins,1120,transit
2020-03-05 20:18:19.829306,"51.520406, -0.085969","51.531465025154574, -0.05118431362622555",3.4 km,19 mins,1141,transit
2020-03-05 20:18:20.048777,"51.520406, -0.085969","51.53045025253126, -0.04940776527556841",3.5 km,20 mins,1208,transit
2020-03-05 20:18:20.323109,"51.520406, -0.085969","51.5293865463885, -0.04781437148339832",3.4 km,23 mins,1373,transit
2020-03-05 20:18:20.553535,"51.520406, -0.085969","51.52827909223825, -0.04641157858369349",3.4 km,23 mins,1380,transit
2020-03-05 20:18:20.872911,"51.520406, -0.085969","51.527133288476016, -0.04520581229949458",3.5 km,25 mins,1505,transit
2020-03-05 20:18:21.120812,"51.520406, -0.085969","51.52595472002225, -0.04420245398867039",4.3 km,23 mins,1356,transit
2020-03-05 20:18:21.355151,"51.520406, -0.085969","51.52474913106095, -0.04340582365927431",4.1 km,20 mins,1208,transit
2020-03-05 20:18:21.587068,"51.520406, -0.085969","51.52352239700966, -0.04281916967357412",4.0 km,19 mins,1152,transit
2020-03-05 20:18:21.842867,"51.520406, -0.085969","51.522280495857764, -0.04244466499466203",3.9 km,17 mins,1022,transit
2020-03-05 20:18:22.051784,"51.520406, -0.085969","51.52102947901402, -0.042283409768323135",4.1 km,20 mins,1177,transit
2020-03-05 20:18:22.286314,"51.520406, -0.085969","51.51977544180542, -0.0423354399767695",4.0 km,19 mins,1146,transit
2020-03-05 20:18:22.496980,"51.520406, -0.085969","51.51852449377175, -0.04259974185080289",4.1 km,19 mins,1166,transit
2020-03-05 20:18:22.730439,"51.520406, -0.085969","51.51728272890068, -0.04307427168386305",4.4 km,23 mins,1400,transit
2020-03-05 20:18:22.941504,"51.520406, -0.085969","51.516056195948416, -0.04375598065593586",4.4 km,31 mins,1880,transit
2020-03-05 20:18:23.119493,"51.520406, -0.085969","51.51485086899021, -0.04464084424792262",4.2 km,30 mins,1770,transit
2020-03-05 20:18:23.355720,"51.520406, -0.085969","51.513672618343975, -0.04572389580814404",4.0 km,27 mins,1620,transit
2020-03-05 20:18:23.587717,"51.520406, -0.085969","51.512527182007986, -0.046999263822277974",3.8 km,27 mins,1593,transit
2020-03-05 20:18:23.868202,"51.520406, -0.085969","51.51142013775114, -0.04846021243609514",3.9 km,28 mins,1683,transit
2020-03-05 20:18:24.092918,"51.520406, -0.085969","51.51035687599086, -0.050099184786574755",5.7 km,29 mins,1745,transit
2020-03-05 20:18:24.328154,"51.520406, -0.085969","51.50934257358969, -0.051907848710850295",5.6 km,30 mins,1801,transit
2020-03-05 20:18:24.589315,"51.520406, -0.085969","51.50838216869734, -0.053877144423271184",5.9 km,33 mins,1982,transit
2020-03-05 20:18:24.818643,"51.520406, -0.085969","51.507480336759095, -0.0559973337778966",4.9 km,30 mins,1804,transit
2020-03-05 20:18:25.045109,"51.520406, -0.085969","51.50664146780675, -0.05825805076592569",4.7 km,28 mins,1662,transit
2020-03-05 20:18:25.277788,"51.520406, -0.085969","51.50586964514076, -0.060648352933981846",4.8 km,29 mins,1720,transit
